coorte,nascidos_vivos,obitos_idade0,prob_sobrev_1,prob_morte_1
2000,29031,432,0.9851193551720575,0.01488064482794249
2001,27108,358,0.9867935664748414,0.0132064335251586
2002,26371,320,0.9878654582685525,0.012134541731447457
2003,24856,300,0.9879304795622788,0.012069520437721248
2004,25209,287,0.9886151771192828,0.011384822880717183
2005,24547,285,0.9883896199128203,0.011610380087179739
2006,24735,262,0.9894077218516273,0.010592278148372714
2007,24379,241,0.9901144427581114,0.009885557241888554
2008,25329,260,0.9897350862647558,0.010264913735244185
2009,24868,213,0.9914347756152485,0.00856522438475149
2010,25345,231,0.9908857762872362,0.009114223712763825
2011,25249,234,0.9907323062299497,0.009267693770050323
2012,25079,231,0.9907891064237011,0.009210893576298895
2013,24932,211,0.9915369805871972,0.008463019412802808
2014,24815,203,0.9918194640338505,0.008180535966149538
2015,24506,216,0.9911858320411328,0.008814167958867247
2016,23217,198,0.991471766378085,0.008528233621915016
2017,22745,191,0.9916025500109914,0.008397449989008599
2018,22112,178,0.9919500723589001,0.008049927641099908
2019,21393,134,0.9937362688729958,0.0062637311270041796
2020,19728,146,0.9925993511759935,0.007400648824006484
2021,18575,139,0.9925168236877524,0.007483176312247597
2022,18396,155,0.9915742552728855,0.008425744727114548
2023,17979,139,0.9922687579954391,0.007731242004560879
